"","0.749","X2","94","X4","X5","X6","X7","X8","X9","95","X11","X12","X13","X14","96","X16","X17","X18","X19","97","X21","X22","X23","X24","X25","X26","X27","X28"
"1","Food & Nightlife Attribute Totals
(sorted by winner below)",NA,"Number of restaurants in your city","raw data","population","per 10000","difference","raw score","weighted score","Last call index","raw data","difference","raw score","weighted score","Number of food festivals","raw data","difference","raw score","weighted score","Food - fast food","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score"
"2","Accra","13.469825236398369","Accra","1073","2269000","4.7289554869986778","274.31096533244255","1.5443579845029518","1.1567241303927109","Accra","0","12","0","0","Accra","1","80","1.2345679012345698","0.92469135802469282","Accra","20.05","0.48759999999999998","9.7763799999999996","0.37","26.422648648648646","26.422425434362932","69.156055350034805","51.797885457176072"
"3","Amsterdam","42.65527676581344","Amsterdam","2405","813562","29.561361027186621","249.47855979225463","10.457200485295374","7.8324431634862348","Amsterdam","12","0","100","74.900000000000006","Amsterdam","15","66","18.518518518518519","13.87037037037037","Amsterdam","7.05","1.3277000000000001","9.3602850000000011","9.2799999999999994","1.0086514008620691","1.0084281865763547","98.822821801598323","74.018293529397141"
"4","Bangkok","25.640538510801029","Bangkok","7926","8280925","9.571394500010566","269.46852631943068","3.2824053183715591","2.4585215834602976","Bangkok","4","8","33.333333333333329","24.966666666666661","Bangkok","4","77","4.9382716049382793","3.6987654320987713","Bangkok","148.18","3.2599999999999997E-2","4.8306680000000002","1.22","3.9595639344262299","3.9593407201405157","95.378104620798908","71.438200360978385"
"5","Beirut","38.41188758326728","Beirut","4800","1900000","25.263157894736842","253.7767629247044","8.9144901951489288","6.6769531561665474","Beirut","12","0","100","74.900000000000006","Beirut","3","78","3.7037037037037095","2.7740740740740786","Beirut","12818.1","6.9999999999999999E-4","8.9726700000000008","1.4","6.4090500000000006","6.408826785714286","92.518722433682896","69.296523102828488"
"6","Berlin","40.246122144596889","Berlin","4650","3421829","13.589223774770744","265.45069704467051","4.7244838742753075","3.5386384218322053","Berlin","12","0","100","74.900000000000006","Berlin","9","72","11.111111111111114","8.3222222222222246","Berlin","6.58","1.3277000000000001","8.7362660000000005","11.29","0.77380566873339252","0.77358245444767826","99.09696653449015","74.223627934333123"
"7","Bogota","32.218478529452447","Bogota","6158","7776845","7.9183782112154741","271.12154260822575","2.6891050112615034","2.0141396534348659","Bogota","8","4","66.666666666666657","49.933333333333323","Bogota","6","75","7.407407407407419","5.5481481481481572","Bogota","13856.6","5.0000000000000001E-4","6.9283000000000001","1.72","4.0280813953488375","4.0278581810631229","95.298121472487907","71.378292982893441"
"8","Boston","30.162861294962262","Boston","766","645966","11.858209255595495","267.18171156384574","4.1031884564381045","3.0732881538721402","Boston","4","8","33.333333333333329","24.966666666666661","Boston","20","61","24.691358024691368","18.493827160493836","Boston","7.16","1","7.16","8","0.89500000000000002","0.89477678571428576","98.955491587204833","74.117663198816416"
"9","Buenos Aires","39.348440569589854","Buenos Aires","4234","2890151","14.64975359418937","264.3901672252519","5.1051290450612896","3.823741654750906","Buenos Aires","12","0","100","74.900000000000006","Buenos Aires","7","74","8.6419753086419746","6.4728395061728392","Buenos Aires","58.05","0.1832","10.63476","3.44","3.0914999999999999","3.0912767857142858","96.39143006333201","72.197181117435676"
"10","Cairo","22.418756971776922","Cairo","3931","10230350","3.8424882824145801","275.19743253702666","1.2261873359208408","0.91841431460470979","Cairo","2","10","16.666666666666657","12.483333333333325","Cairo","0","81","0","6.4728395061728445","Cairo","36.28","0.14630000000000001","5.3077640000000006","0.91","5.832707692307693","5.8324844780219784","93.191509656871574","69.800440732996805"
"11","Caracas","11.007850105327947","Caracas","991","2906376","3.4097446441891899","275.63017617525207","1.0708670676334577","0.80207943365745982","Caracas","5","7","41.666666666666664","31.208333333333332","Caracas","13","68","16.049382716049394","12.020987654320995","Caracas","275","0.1651","45.402499999999996","0.53","85.665094339622627","85.664871125336916","0","0"
"12","Casablanca","26.366959726742735","Casablanca","526","4055807","1.2969058932044844","277.74301492623675","0.31252736564117356","0.23408299686523901","Casablanca","5","7","41.666666666666664","31.208333333333332","Casablanca","3","78","3.7037037037037095","2.7740740740740786","Casablanca","51.08","0.1201","6.1347079999999998","1.47","4.1732707482993199","4.1730475340136053","95.128636185177953","71.251348502698292"
"13","Chicago","39.151535043827934","Chicago","16598","2718782","61.049396384116122","217.99052443532514","21.75888043496856","16.297401445791451","Chicago","6","6","50","37.450000000000003","Chicago","31","50","38.271604938271608","28.665432098765436","Chicago","6.67","1","6.67","8.25","0.80848484848484847","0.80826163419913422","99.056484153210761","74.193306630754861"
"14","Dallas","28.290096655852082","Dallas","6000","1258000","47.694753577106518","231.34516724233472","16.965634456419039","12.70726020785786","Dallas","2","10","16.666666666666657","12.483333333333325","Dallas","15","66","18.518518518518519","13.87037037037037","Dallas","6.64","1","6.64","7.25","0.91586206896551725","0.91563885467980299","98.931138467085148","74.099422711846771"
"15","Dar Es Salaam","17.492616122778568","Dar Es Salaam","186","4364541","0.42616165136265188","278.61375916807862","0","0","Dar Es Salaam","1.5","10.5","12.5","9.3625000000000007","Dar Es Salaam","2","79","2.4691358024691397","1.8493827160493856","Dar Es Salaam","8000","5.9999999999999995E-4","4.8","0.26","18.46153846153846","18.461315247252745","78.449374866575283","58.75858177506489"
"16","Detroit","36.330431836501901","Detroit","978","688701","14.200647305579635","264.8392735138616","4.9439358972603031","3.7030079870479669","Detroit","4","8","33.333333333333329","24.966666666666661","Detroit","0","81","0","42.420216049382717","Detroit","6.23","1","6.23","8.15","0.76441717791411046","0.7641939636283962","99.107926092002984","74.231836642910238"
"17","Dubai","28.66035295857419","Dubai","732","2213845","3.306464544717449","275.73345627472378","1.0337977930290378","0.77431454697874935","Dubai","5","7","41.666666666666664","31.208333333333332","Dubai","12","69","14.814814814814824","11.096296296296304","Dubai","21.87","0.27229999999999999","5.9552009999999997","1.56","3.8174365384615383","3.8172133241758242","95.544015564336945","71.562467657688373"
"18","Durban","25.594473548376278","Durban","154","3161844","0.48705755249152077","278.55286326694971","2.1856745808506162E-2","1.6370702610571115E-2","Durban","4","8","33.333333333333329","24.966666666666661","Durban","6","75","7.407407407407419","5.5481481481481572","Durban","46.43","0.1038","4.8194340000000002","1.38","3.49234347826087","3.4921202639751558","95.923509580880818","71.846708676079729"
"19","Hong Kong","32.279964289794471","Hong Kong","44047","7071600","62.287176876520171","216.75274394292109","22.203144385212781","16.630155144524373","Hong Kong","5","7","41.666666666666664","31.208333333333332","Hong Kong","8","73","9.8765432098765444","7.3975308641975319","Hong Kong","34.9","0.12889999999999999","4.4986099999999993","3.87","1.1624315245478034","1.162208310262089","98.643308167052922","73.88383781712264"
"20","Istanbul","26.831690548415462","Istanbul","10533","14377018","7.3262758661079781","271.71364495333324","2.4765877447505176","1.8549642208181376","Istanbul","5","7","41.666666666666664","31.208333333333332","Istanbul","2","79","2.4691358024691397","1.8493827160493856","Istanbul","13.37","0.52529999999999999","7.0232609999999998","2.4700000000000002","2.8434255060728741","2.84320229178716","96.681017254287056","72.414081923460998"
"21","Jakarta","29.499337869388565","Jakarta","2916","11374022","2.5637369085447523","276.47618391089651","0.76721812431831893","0.57464637511442085","Jakarta","5","7","41.666666666666664","31.208333333333332","Jakarta","15","66","18.518518518518519","13.87037037037037","Jakarta","42976.6","1E-4","4.2976600000000005","1.47","2.9235782312925176","2.9233550170068034","96.587451800715812","72.34400139873614"
"22","Johannesburg","26.508379191526956","Johannesburg","3800","4434827","8.5685416815582656","270.47137913788299","2.9224615663304689","2.1889237131815213","Johannesburg","4","8","33.333333333333329","24.966666666666661","Johannesburg","8","73","9.8765432098765444","7.3975308641975319","Johannesburg","52","0.1038","5.3976000000000006","1.38","3.9113043478260878","3.9110811335403737","95.434439949348615","71.480395522062111"
"23","Karachi","23.870182411551177","Karachi","4000","23500000","1.7021276595744681","277.33779315986681","0.45796948866478715","0.34301914700992558","Karachi","0","12","0","0","Karachi","24","57","29.629629629629633","22.192592592592597","Karachi","117.45","9.9000000000000008E-3","1.1627550000000002","0.52","2.2360673076923079","2.2358440934065937","97.39001055621118","72.945117906602178"
"24","Lagos","36.267628278693898","Lagos","1000","13400000","0.74626865671641796","278.29365216272481","0.114892748408991","8.6054668558334255E-2","Lagos","12","0","100","74.900000000000006","Lagos","7","74","8.6419753086419746","6.4728395061728392","Lagos","1455.05","6.3E-3","9.1668149999999997","0.71","12.911007042253521","12.910783827967807","84.928730227028609","63.61161894004443"
"25","Lima","41.699418045683181","Lima","39895","9752000","40.909557013945857","238.13036380549539","14.530292934370451","10.883189407843467","Lima","12","0","100","74.900000000000006","Lima","10","71","12.345679012345684","9.2469135802469182","Lima","14","0.37619999999999998","5.2667999999999999","1.47","3.5828571428571427","3.5826339285714286","95.817849392045844","71.767569194642334"
"26","London","27.201632906309573","London","37450","8173941","45.816332660096272","233.22358815934498","16.291431960957539","12.202282538757196","London","2","10","16.666666666666657","12.483333333333325","London","11","70","13.580246913580254","10.17160493827161","London","5.46","1.5636000000000001","8.5372560000000011","7.85","1.0875485350318472","1.0873253207461329","98.730722049233862","73.949310814876156"
"27","Los Angeles","44.368840455882903","Los Angeles","10368","3884307","26.692019966495952","252.34790085294529","9.4273371112616076","7.0610754963349445","Los Angeles","4","8","33.333333333333329","24.966666666666661","Los Angeles","77","4","95.061728395061735","71.201234567901238","Los Angeles","6.73","1","6.73","9","0.74777777777777787","0.74755456349206362","99.127349923402889","74.246385092628771"
"28","Madrid","35.16030243925853","Madrid","7211","3165235","22.781878754658027","256.25804206478324","8.0239099354059107","6.0099085416190272","Madrid","8","4","66.666666666666657","49.933333333333323","Madrid","12","69","14.814814814814824","11.096296296296304","Madrid","6.98","1.3277000000000001","9.2673460000000016","6.24","1.4851516025641027","1.4849283882783884","98.266584226682866","73.601671585785468"
"29","Manila","21.97274459525218","Manila","0","11855975","17.099911306250796","261.94000951319043","5.9845392074945778","4.4824198664134256","Manila","0","12","0","0","Manila",NA,"81","0","11.0962962962963","Manila","161.79","2.3599999999999999E-2","3.8182439999999995","1.29","2.9598790697674415","2.9596558554817274","96.545076392922567","72.312262218298997"
"30","Mexico City","28.387192196159887","Mexico City","52110","8851080","58.874171287571691","220.16574953186955","20.978149037122492","15.712633628804747","Mexico City","4","8","33.333333333333329","24.966666666666661","Mexico City","7","74","8.6419753086419746","6.4728395061728392","Mexico City","70.709999999999994","7.8399999999999997E-2","5.5436639999999997","0.56999999999999995","9.7257263157894744","9.7255031015037599","88.647034690247409","66.39662898299531"
"31","Miami","27.52206648090251","Miami","8599","2496435","34.445118739322275","244.59480208011897","12.210077919173088","9.145348361460643","Miami","4","8","33.333333333333329","24.966666666666661","Miami","2","79","2.4691358024691397","1.8493827160493856","Miami","7.12","1","7.12","8.0500000000000007","0.88447204968944093","0.88424883540372667","98.967781280952408","74.126868179433359"
"32","Montreal","32.771240256105735","Montreal","6061","3824220","15.848983583580443","263.19093723586082","5.5355564557433468","4.1461317853517663","Montreal","4.75","7.25","39.583333333333329","29.647916666666664","Montreal","25","56","30.864197530864203","23.117283950617288","Montreal","8.6","0.97109999999999996","8.3514599999999994","10.050000000000001","0.83099104477611929","0.83076783049040503","99.030211778087079","74.173628621787216"
"33","Moscow","20.166687636512389","Moscow","10398","11503501","9.0389873482864047","270.00093347115484","3.0913138398624227","2.3153940660569545","Moscow","1","11","8.3333333333333286","6.2416666666666627","Moscow","3","78","3.7037037037037095","2.7740740740740786","Moscow","245.25","3.1399999999999997E-2","7.7008499999999991","1.21","6.3643388429752061","6.3641156286894915","92.570915539722108","69.335615739251864"
"34","Mumbai","23.780905647782241","Mumbai","11200","12442373","9.0014983476222739","270.03842247181899","3.0778582945310973","2.3053158626037917","Mumbai","3.5","8.5","29.166666666666657","21.845833333333328","Mumbai","4","77","4.9382716049382793","3.6987654320987713","Mumbai","219.34","1.7100000000000001E-2","3.7507140000000003","0.43","8.7225906976744199","8.7223674833887053","89.818034663675675","67.273707963093074"
"35","Nairobi","30.505790022805012","Nairobi","337","3138369","1.0738061712947076","277.96611464814652","0.23245245384359237","0.17410688792885068","Nairobi","8","4","66.666666666666657","49.933333333333323","Nairobi","4","77","4.9382716049382793","3.6987654320987713","Nairobi","583","1.18E-2","6.8793999999999995","0.9","7.6437777777777773","7.6435545634920627","91.077375751480773","68.216954437859101"
"36","New Delhi","21.132076887521809","New Delhi","4214","16787941","2.5101351023332761","276.52978571710798","0.7479793737370386","0.5602365509290419","New Delhi","1.5","10.5","12.5","9.3625000000000007","New Delhi","6","75","7.407407407407419","5.5481481481481572","New Delhi","242.29","1.7100000000000001E-2","4.1431589999999998","0.62","6.6825145161290322","6.6822913018433177","92.199496463297763","69.057422851010031"
"37","New York City","48.59835893795784","New York City","25034","8405837","29.781686225892795","249.25823459354845","10.536279565727014","7.8916733947295334","New York City","6","6","50","37.450000000000003","New York City","81","0","100","74.900000000000006","New York City","7.49","1","7.49","8.75","0.85599999999999998","0.85577678571428573","99.001017833246735","74.151762357101802"
"38","Osaka","57.382479993458062","Osaka","74880","2683487","279.03992081944125","0","100","74.900000000000006","Osaka","12","0","100","74.900000000000006","Osaka","6","75","7.407407407407419","5.5481481481481572","Osaka","675.87","1.0200000000000001E-2","6.8938740000000003","8.39","0.82167747318235995","0.82145425889664569","99.041083879418011","74.181771825684095"
"39","Paris","31.061324702019355","Paris","16162","6500000","24.864615384615384","254.17530543482587","8.7714453895687967","6.5698125967870284","Paris","4","8","33.333333333333329","24.966666666666661","Paris","20","61","24.691358024691368","18.493827160493836","Paris","7.39","1.3277000000000001","9.8117029999999996","12.52","0.78368234824281147","0.78345913395709721","99.08543709496648","74.2149923841299"
"40","Quito","27.759065186699249","Quito","2339","2670000","8.760299625468166","270.27962119397307","2.9912872928425003","2.2404741823390326","Quito","4","8","33.333333333333329","24.966666666666661","Quito","12","69","14.814814814814824","11.096296296296304","Quito","5.28","1","5.28","2.13","2.47887323943662","2.4786500251509058","97.106573566748992","72.732823601494999"
"41","Rio De Janeiro","37.695087557023712","Rio De Janeiro","6576","6453682","10.189532115155348","268.85038870428588","3.5042671592908761","2.624696102308866","Rio De Janeiro","12","0","100","74.900000000000006","Rio De Janeiro","2","79","2.4691358024691397","1.8493827160493856","Rio De Janeiro","19.89","0.46410000000000001","9.2309490000000007","2.31","3.9960818181818185","3.9958586038961044","95.335475847445409","71.406271409736604"
"42","Rome","30.826682707299469","Rome","6588","2889305","22.801331115960412","256.23858970348084","8.0308917734028853","6.0151379382787606","Rome","4","8","33.333333333333329","24.966666666666661","Rome","20","61","24.691358024691368","18.493827160493836","Rome","7.34","1.3277000000000001","9.745318000000001","7.97","1.2227500627352574","1.2225268484495431","98.572895946273178","73.831099063758614"
"43","San Francisco","46.15072540852362","San Francisco","6221","1258722","49.423145063008349","229.6167757564329","17.58598841562862","13.171905323305836","San Francisco","4","8","33.333333333333329","24.966666666666661","San Francisco","78","3","96.296296296296291","72.125925925925927","San Francisco","7.1","1","7.1","11.05","0.64253393665158365","0.64231072236586939","99.250205231236379","74.338403718196048"
"44","Santiago","27.506054831573788","Santiago","2000","6434576","3.1082079067836013","275.93171291265764","0.96263955643445343","0.72101702776940557","Santiago","5","7","41.666666666666664","31.208333333333332","Santiago","6","75","7.407407407407419","5.5481481481481572","Santiago","3405.03","2E-3","6.8100600000000009","2.5299999999999998","2.6917233201581032","2.6915001058723891","96.858105229698609","72.54672081704426"
"45","Sao Paulo","39.912784359835555","Sao Paulo","31087","11895893","26.132548434993488","252.90737238444777","9.2265316904622097","6.910672236156195","Sao Paulo","12","0","100","74.900000000000006","Sao Paulo","7","74","8.6419753086419746","6.4728395061728392","Sao Paulo","20.11","0.46410000000000001","9.3330509999999993","2.31","4.0402818181818176","4.0400586038961031","95.283879435264581","71.367625697013167"
"46","Seoul","39.938584669670902","Seoul","80708","10117909","79.767469741030482","199.27245107841077","28.477167935487287","21.329398783679977","Seoul","8","4","66.666666666666657","49.933333333333323","Seoul",NA,"81","0","14.610123456790131","Seoul","5773.84","8.9999999999999998E-4","5.1964560000000004","4.46","1.1651246636771302","1.1649014493914158","98.640164358985558","73.881483104880189"
"47","Shanghai","41.953211436137622","Shanghai","69789","21766000","32.063309749150051","246.9766110702912","11.355199467626349","8.5050444012521353","Shanghai","12","0","100","74.900000000000006","Shanghai","0","81","0","11.0962962962963","Shanghai","30.94","0.1615","4.99681","2.75","1.8170218181818181","1.8167986038961037","97.879178967960002","73.311505047002044"
"48","Singapore","29.743328662653521","Singapore","4920","5312400","9.2613508018974482","269.77857001754381","3.1711244903755187","2.3751722432912636","Singapore","6","6","50","37.450000000000003","Singapore","6","75","7.407407407407419","5.5481481481481572","Singapore","7.44","0.79949999999999999","5.9482800000000005","4","1.4870700000000001","1.4868467857142857","98.264344805306635","73.599994259174665"
"49","Sydney","28.713238119980453","Sydney","8291","4757083","17.428747827187376","261.6111729922539","6.1025651520561155","4.5708212988900305","Sydney","5","7","41.666666666666664","31.208333333333332","Sydney","5","76","6.1728395061728492","4.6234567901234644","Sydney","8.68","0.96499999999999997","8.376199999999999","16.28","0.5145085995085994","0.51428538522288514","99.399654282476618","74.450341057574988"
"50","Tehran","21.192466193124652","Tehran","2237","8154051","2.7434216440392634","276.296499175402","0.83171053705164866","0.62295119225168483","Tehran","0","12","0","0","Tehran","10","71","12.345679012345684","9.2469135802469182","Tehran","5","1E-4","5.0000000000000001E-4","2.2400000000000002","2.2321428571428571E-4","0","100","74.900000000000006"
"51","Tel Aviv","38.230143619182655","Tel Aviv","1023","1331300","7.6842184331104937","271.35570238633073","2.6050604260966566","1.9511902591463957","Tel Aviv","12","0","100","74.900000000000006","Tel Aviv","3","78","3.7037037037037095","2.7740740740740786","Tel Aviv","42.43","0.27729999999999999","11.765839","6.41","1.8355443057722307","1.8353210914865163","97.857556933925409","73.295310143510136"
"52","Tokyo","59.42622837247621","Tokyo","190112","13202041","144.00197666406277","135.03794415537848","51.532205531201178","38.597621942869679","Tokyo","12","0","100","74.900000000000006","Tokyo","54","27","66.666666666666671","49.933333333333337","Tokyo","639","1.0200000000000001E-2","6.5178000000000003","9.1","0.71624175824175829","0.71601854395604403","99.164163169161327","74.273958213701832"
"53","Toronto","31.980864185226125","Toronto","10091","2615060","38.588024748954133","240.45189607048712","13.697048994112919","10.259089696590577","Toronto","4","8","33.333333333333329","24.966666666666661","Toronto","20","61","24.691358024691368","18.493827160493836","Toronto","8.16","0.97109999999999996","7.9241760000000001","9.9499999999999993","0.79639959798994986","0.7961763837042356","99.070591745198158","74.203873217153415"
"54","Vancouver","29.392413490597868","Vancouver","3119","603502","51.681684567739623","227.35823625170161","18.396623005777755","13.779070631327539","Vancouver","4","8","33.333333333333329","24.966666666666661","Vancouver","5","76","6.1728395061728492","4.6234567901234644","Vancouver","8.2","0.97109999999999996","7.9630199999999993","9.9499999999999993","0.80030351758793972","0.80008030330222546","99.066034545091853","74.200459874273804"
"55","Warsaw","43.70260291333598","Warsaw","1256","1724404","7.2836759831222846","271.75624483631896","2.4612978024616297","1.8435120540437606","Warsaw","12","0","100","74.900000000000006","Warsaw","27","54","33.333333333333343","24.966666666666672","Warsaw","17.28","0.31690000000000002","5.4760320000000009","2.66","2.0586586466165415","2.0584354323308274","97.597106719136818","73.100232932633475"
