"","0.87","X2","14","X4","X5","X6","X7","15","X9","X10","X11","X12","16","X14","X15","X16","X17","X18","X19","17","X21","X22","X23","X24","X25","X26","18","X28","X29","X30","X31","19","X33","X34","X35","X36","20","X38","X39","X40","X41","21","X43","X44","X45","X46","22","X48","X49","X50","X51","23","X53","X54","X55","X56","X57","X58","X59","X60"
"1","Transit Attribute Totals
(sorted by winner below)",NA,"KMs of dedicated public transportation","raw data","Difference","Raw score","Weighted score","HRs/week dedicated transit","raw data","Difference","Raw score","Weighted Score","Public bike rentals","raw data","population","per 1000","difference","raw score","weighted score","KMs bike paths","raw data","Area","Area balanced data","difference","raw score","weighted score","Commute time by transit","raw data","difference","raw score","weighted score","Commute time by foot","raw data","difference","raw score","weighted score","Commute time to airport","raw data","difference","raw score","weighted score","Real time transit app","raw data","difference","raw score","weighted score","Density","raw data","difference","raw score","weighted score","Standing rate for a taxi","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score"
"2","Accra","13.58907849904393","Accra","0","3753","0","0","Accra","0","168","0","0","Accra","0","2269000","0","7.3749757240382419","0","0","Accra","0","173","0","3.4791684787335826","0","0","Accra","N/A",NA,"0","0","Accra","148","103","87.953216374269005","76.519298245614038","Accra","150","135","0","0","Accra","0","1","0","0","Accra","13115.61","14034.54","47.564793321549502","41.381370189748068","Accra","15","0.48759999999999998","7.3140000000000001","0.37","19.767567567567568","19.767567567567568","20.678294890893312","17.990116555077183"
"3","Amsterdam","64.008715080506747","Amsterdam","380","3373","10.125233146815887","8.8089528377298212","Amsterdam","138","30","82.142857142857139","71.464285714285708","Amsterdam","6000","813562","7.3749757240382419","0","100","87","Amsterdam","513","164","3.1280487804878048","0.35111969824577782","89.90794207317073","78.219909603658536","Amsterdam","51","51","73.015873015873012","63.523809523809518","Amsterdam","198","153","82.10526315789474","71.431578947368422","Amsterdam","38","23","82.962962962962962","72.177777777777777","Amsterdam","1","0","100","87","Amsterdam","4960.74","22189.410000000003","17.096940874237674","14.874338560586777","Amsterdam","2.83","1.3277000000000001","3.7573910000000006","9.2799999999999994","0.40489127155172422","0.40489127155172422","98.375284873391777","85.58649783985085"
"4","Bangkok","33.496626633327587","Bangkok","72.45","3680.55","1.9304556354916116","1.679496402877702","Bangkok","126","42","75","65.25","Bangkok","500","8280925","6.0379728110084324E-2","7.3145959959281575","0.81871087267828102","0.71227845923010447","Bangkok","23.5","1568","1.4987244897959183E-2","3.4641812338356233","0.43077088647959272","0.37477067123724567","Bangkok","92","92","51.322751322751323","44.650793650793652","Bangkok","271","226","73.567251461988306","64.00350877192983","Bangkok","59","44","67.407407407407419","58.644444444444453","Bangkok","0","1","0","0","Bangkok","5281.2","21868.95","18.294228874569455","15.915979120875425","Bangkok","35","3.2599999999999997E-2","1.1409999999999998","1.22","0.93524590163934407","0.93524590163934407","96.247120473433881","83.734994811887475"
"5","Beirut","39.700037400683456","Beirut","0","3753","0","0","Beirut","0","168","0","0","Beirut","0","1900000","0","7.3749757240382419","0","0","Beirut","0","100","0","3.4791684787335826","0","0","Beirut","25","25","86.772486772486772","75.492063492063494","Beirut","45","0","100","87","Beirut","15","0","100","87","Beirut","0","1","0","0","Beirut","19000","8150.1500000000015","69.549782200886284","60.508310514771068","Beirut","0","6.9999999999999999E-4","0","1.4","0","0","100","87"
"6","Berlin","55.904859479554645","Berlin","1900","1853","50.626165734079407","44.044764188649083","Berlin","153","15","91.071428571428569","79.232142857142861","Berlin","1750","3421829","0.51142240012578066","6.8635533239124609","6.9345638448521782","6.0330705450213946","Berlin","1087","892","1.2186098654708519","2.2605586132627309","35.025894058295961","30.472527830717485","Berlin","30","30","84.126984126984127","73.19047619047619","Berlin","243","198","76.84210526315789","66.852631578947367","Berlin","33","18","86.666666666666671","75.400000000000006","Berlin","1","0","100","87","Berlin","3836.13","23314.02","12.895224410238711","11.218845236907679","Berlin","3.4","1.3277000000000001","4.5141800000000005","11.29","0.39983879539415418","0.39983879539415418","98.395559043315401","85.604136367684404"
"7","Bogota","52.646936462744314","Bogota","113","3640","3.0109245936584159","2.6195043964828217","Bogota","131","37","77.976190476190482","67.839285714285722","Bogota","200","7776845","2.5717369961726126E-2","7.3492583540765155","0.3487112490133768","0.30337878664163781","Bogota","376","528","0.71212121212121215","2.7670472666123702","20.468143939393954","17.80728522727274","Bogota","69","69","63.492063492063494","55.238095238095241","Bogota",NA,"-45","105.26315789473684","91.578947368421041","Bogota","35","20","85.18518518518519","74.111111111111114","Bogota","1","0","100","87","Bogota","14728.87","12421.28","53.592181574109048","46.625197969474868","Bogota","3600","5.0000000000000001E-4","1.8","1.72","1.0465116279069768","1.0465116279069768","95.80064231684814","83.346558815657886"
"8","Boston","53.004735642708191","Boston","10","3743","0.26645350386357336","0.23181454836130883","Boston","143","25","85.11904761904762","74.053571428571431","Boston","1300","645966","2.0124898214457105","5.3624859025925318","27.288087401916911","23.740636039667713","Boston","10","48","0.20833333333333334","3.2708351454002491","5.9880208333333371","5.2095781250000028","Boston","31","31","83.597883597883595","72.73015873015872","Boston","63","18","97.89473684210526","85.168421052631572","Boston","25","10","92.592592592592595","80.555555555555557","Boston","1","0","100","87","Boston","5150.83","21999.32","17.807146441182283","15.492217403828587","Boston","2.6","1","2.6","8","0.32500000000000001","0.32500000000000001","98.695866141732282","85.865403543307082"
"9","Buenos Aires","53.344204667420648","Buenos Aires","860","2893","22.915001332267522","19.936051159072743","Buenos Aires","119","49","70.833333333333329","61.624999999999993","Buenos Aires","3000","2890151","1.0380080487144097","6.336967675323832","14.074731735469882","12.245016609858798","Buenos Aires","130","203","0.64039408866995073","2.838774390063632","18.406527093596054","16.013678571428567","Buenos Aires","61","61","67.724867724867721","58.920634920634917","Buenos Aires","160","115","86.549707602339183","75.298245614035082","Buenos Aires","37.333333333333336","22.333333333333336","83.456790123456784","72.607407407407408","Buenos Aires","1","0","100","87","Buenos Aires","14237.2","12912.95","51.755226599625111","45.027047141673847","Buenos Aires","12","0.1832","2.1983999999999999","3.44","0.6390697674418605","0.6390697674418605","97.435592241488592","84.768965250095079"
"10","Cairo","29.260414881780083","Cairo","77.900000000000006","3675.1","2.0756727950972618","1.8058353317346176","Cairo","140","28","83.333333333333329","72.5","Cairo","0","10230350","0","7.3749757240382419","0","0","Cairo","0","528","0","3.4791684787335826","0","0","Cairo","n/a",NA,"0","0","Cairo","197","152","82.222222222222229","71.533333333333331","Cairo","150","135","0","0","Cairo","0","1","0","0","Cairo","19375.66","7774.4900000000016","70.953305917433227","61.729376148166907","Cairo","3.5","0.14630000000000001","0.51205000000000001","0.91","0.56269230769230771","0.56269230769230771","97.742073568466665","85.035604004565997"
"11","Caracas","35.056993197188923","Caracas","1123.5","2629.5","29.936051159072747","26.04436450839329","Caracas","126","42","75","65.25","Caracas","1","2906376","3.4407110435814224E-4","7.3746316529338838","4.6653862633974086E-3","4.0588860491557457E-3","Caracas","3.1","817.9","3.7901944002934345E-3","3.475378284333289","0.10893966255044063","9.4777506418883342E-2","Caracas","90","90","52.380952380952387","45.571428571428577","Caracas","137","92","89.239766081871352","77.638596491228071","Caracas","90","75","44.44444444444445","38.666666666666671","Caracas","1","0","100","87","Caracas","3553.46","23596.690000000002","11.839125680120176","10.300039341704553","Caracas","80","0.1651","13.208","0.53","24.920754716981133","24.920754716981133","0","0"
"12","Casablanca","32.74124845134471","Casablanca","160","3593","4.2632560618172164","3.7090327737809781","Casablanca","119","49","70.833333333333329","61.624999999999993","Casablanca","0","4055807","0","7.3749757240382419","0","0","Casablanca","1.9","387","4.9095607235142115E-3","3.4742589180100683","0.14111304909560829","0.12276835271317921","Casablanca","n/a",NA,"0","0","Casablanca","195","150","82.456140350877192","71.73684210526315","Casablanca","40","25","81.481481481481481","70.888888888888886","Casablanca","0","1","0","0","Casablanca","10480.120000000001","16670.03","37.718196080101656","32.814830589688441","Casablanca","1.7","0.1201","0.20416999999999999","1.47","0.13889115646258504","0.13889115646258504","99.442668739209793","86.515121803112521"
"13","Chicago","46.286726097732092","Chicago","360.5","3392.5","9.6056488142819063","8.3569144684252592","Chicago","168","0","100","87","Chicago","3000","2718782","1.1034352883018939","6.2715404357363482","14.961883667024424","13.016838790311249","Chicago","179","606","0.2953795379537954","3.1837889407797872","8.4899463696369679","7.3862533415841618","Chicago","68","68","64.021164021164026","55.698412698412703","Chicago","364","319","62.690058479532169","54.540350877192985","Chicago","71","56","58.518518518518519","50.911111111111111","Chicago","1","0","100","87","Chicago","4486.4399999999996","22663.710000000003","15.324882899584495","13.33264812263851","Chicago","3.25","1","3.25","8.25","0.39393939393939392","0.39393939393939392","98.419231686948223","85.624731567644957"
"14","Dallas","38.535871397600239","Dallas","178.95","3574.05","4.7681854516386863","4.1483213429256569","Dallas","143","25","85.11904761904762","74.053571428571431","Dallas","15","1258000","1.192368839427663E-2","7.3630520356439648","0.1616776629570893","0.14065956677266769","Dallas","198","343","0.57725947521865895","2.9019090035149238","16.591880466472304","14.434936005830904","Dallas","99","99","47.61904761904762","41.428571428571431","Dallas","540","495","42.10526315789474","36.631578947368425","Dallas","102","87","35.555555555555557","30.933333333333334","Dallas","1","0","100","87","Dallas","3667.64","23482.510000000002","12.265719775726126","10.67117620488173","Dallas","2.25","1","2.25","7.25","0.31034482758620691","0.31034482758620691","98.754673238789451","85.91656571774682"
"15","Dar Es Salaam","31.066010356772004","Dar Es Salaam","20.9","3732.1","0.55688782307487372","0.48449240607514016","Dar Es Salaam","0","168","0","0","Dar Es Salaam","0","4364541","0","7.3749757240382419","0","0","Dar Es Salaam","0","1393","0","3.4791684787335826","0","0","Dar Es Salaam","0","0","100","87","Dar Es Salaam","210","165","80.701754385964918","70.21052631578948","Dar Es Salaam","24","9","93.333333333333329","81.199999999999989","Dar Es Salaam","0","1","0","0","Dar Es Salaam","3133.2","24016.95","10.268969482718234","8.9340034499648624","Dar Es Salaam","3000","5.9999999999999995E-4","1.7999999999999998","0.26","6.9230769230769225","6.9230769230769225","72.219633788380008","62.831081395890607"
"16","Detroit","38.082038477139157","Detroit","4.7","3748.3","0.12523314681587294","0.10895283772980946","Detroit","118.5","49.5","70.535714285714278","61.366071428571423","Detroit","0","713777","0","7.3749757240382419","0","0","Detroit","69.2","89","0.77752808988764044","2.7016403888459424","22.348101123595498","19.442847977528082","Detroit","81","81","57.142857142857146","49.714285714285715","Detroit","287","242","71.695906432748544","62.375438596491236","Detroit","150","135","0","0","Detroit","1","0","100","87","Detroit","4963.6099999999997","22186.54","17.107663637019158","14.883667364206667","Detroit","2.5","1","2.5","8.15","0.30674846625766872","0.30674846625766872","98.769104428251325","85.929120852578649"
"17","Dubai","41.534694665690992","Dubai","86.87","3666.13","2.3146815880628822","2.0137729816147076","Dubai","168","0","100","87","Dubai","364","2213845","0.16441982162256163","7.2105559024156802","2.229428648648252","1.9396029243239792","Dubai","104","4114","2.5279533300923675E-2","3.4538889454326589","0.7265969859018071","0.63213937773457218","Dubai","125","125","33.862433862433861","29.460317460317459","Dubai","490","445","47.953216374269012","41.719298245614041","Dubai","26","11","91.851851851851848","79.911111111111111","Dubai","1","0","100","87","Dubai","538.12","26612.030000000002","0.57335023569528687","0.49881470505489955","Dubai","3","0.27229999999999999","0.81689999999999996","1.56","0.52365384615384614","0.52365384615384614","97.898723966826637","85.17188985113917"
"18","Durban","16.25810828047609","Durban","0","3753","0","0","Durban","0","168","0","0","Durban","0","3161844","0","7.3749757240382419","0","0","Durban","0","2292","0","3.4791684787335826","0","0","Durban","n/a",NA,"0","0","Durban","189","144","83.15789473684211","72.347368421052636","Durban","150","135","0","0","Durban","0","1","0","0","Durban","1379.51","25770.640000000003","3.716913084722151","3.2337143837082714","Durban","0","0.1038","0","1.38","0","0","100","87"
"19","Hong Kong","41.138272478528506","Hong Kong","210.9","3542.1","5.6195043964828244","4.8889688249400569","Hong Kong","133","35","79.166666666666671","68.875","Hong Kong","50","7071600","7.0705356637818881E-3","7.3679051883744604","9.5871985594968123E-2","8.3408627467622273E-2","Hong Kong","5","1104","4.528985507246377E-3","3.474639493226336","0.13017436594203957","0.11325169836957442","Hong Kong","66","66","65.07936507936509","56.619047619047628","Hong Kong","268","223","73.918128654970758","64.308771929824559","Hong Kong","111","96","28.888888888888886","25.133333333333329","Hong Kong","1","0","100","87","Hong Kong","6405.43","20744.72","22.494525599942307","19.570237271949807","Hong Kong","19","0.12889999999999999","2.4490999999999996","3.87","0.6328423772609818","0.6328423772609818","97.46058101189945","84.790705480352514"
"20","Istanbul","41.577646592398722","Istanbul","231.8","3521.2","6.1763922195576981","5.373461231015197","Istanbul","126","42","75","65.25","Istanbul","100","14377018","6.9555453015361047E-3","7.3680201787367059","9.4312789110148287E-2","8.2052126525829008E-2","Istanbul","83.3","5196","1.6031562740569667E-2","3.463136915993013","0.46078719207082486","0.40088485710161764","Istanbul","72","72","61.904761904761905","53.857142857142854","Istanbul","477","432","49.473684210526315","43.042105263157893","Istanbul","n/a",NA,NA,"68.403174603174605","Istanbul","1","0","100","87","Istanbul","2766.94","24383.210000000003","8.9005656163963351","7.7434920862648111","Istanbul","3.2","0.52529999999999999","1.68096","2.4700000000000002","0.68055060728744932","0.68055060728744932","97.26914126391317","84.624152899604454"
"21","Jakarta","38.444476864690401","Jakarta","200","3553","5.329070077271524","4.636290967226226","Jakarta","119","49","70.833333333333329","61.624999999999993","Jakarta","0","11374022","0","7.3749757240382419","0","0","Jakarta","1.5","664","2.2590361445783132E-3","3.4769094425890041","6.4930346385551729E-2","5.6489401355430006E-2","Jakarta","188","188","0.52910052910053196","0.46031746031746279","Jakarta","51","6","99.298245614035082","86.389473684210515","Jakarta","143","128","5.1851851851851904","4.5111111111111155","Jakarta","1","0","100","87","Jakarta","17129.55","10020.600000000002","62.561492429243771","54.428498413442078","Jakarta","7000","1E-4","0.70000000000000007","1.47","0.47619047619047622","0.47619047619047622","98.089181160047303","85.337587609241154"
"22","Johannesburg","34.322100175400429","Johannesburg","122","3631","3.2507327471356291","2.8281374900079972","Johannesburg","111","57","66.071428571428569","57.482142857142854","Johannesburg","0","4434827","0","7.3749757240382419","0","0","Johannesburg","100","1645","6.0790273556231005E-2","3.4183782051773517","1.7472644376899638","1.5201200607902685","Johannesburg","38","38","79.894179894179899","69.507936507936506","Johannesburg","220","175","79.532163742690059","69.192982456140356","Johannesburg","62","47","65.18518518518519","56.711111111111116","Johannesburg","0","1","0","0","Johannesburg","2695.94","24454.210000000003","8.635298662568843","7.512709836434893","Johannesburg","32.5","0.1038","3.3734999999999999","1.38","2.4445652173913044","2.4445652173913044","90.190645326942828","78.465861434440257"
"23","Karachi","22.794464266207047","Karachi","50","3703","1.332267519317881","1.1590727418065565","Karachi","0","168","0","0","Karachi","0","23500000","0","7.3749757240382419","0","0","Karachi","0","3527","0","3.4791684787335826","0","0","Karachi","n/a",NA,"0","0","Karachi","572","527","38.362573099415208","33.375438596491229","Karachi","150","135","0","0","Karachi","1","0","100","87","Karachi","6662.89","20487.260000000002","23.456435880680672","20.407099216192186","Karachi","15","9.9000000000000008E-3","0.14850000000000002","0.52","0.28557692307692312","0.28557692307692312","98.854059893770682","86.003032107580495"
"24","Lagos","25.788388775864508","Lagos","22","3731","0.58619770849986708","0.5099920063948844","Lagos","112","56","66.666666666666657","57.999999999999993","Lagos","0","13400000","0","7.3749757240382419","0","0","Lagos","0","738","0","3.4791684787335826","0","0","Lagos","156","156","17.460317460317469","15.190476190476199","Lagos","331","286","66.549707602339183","57.898245614035091","Lagos","121","106","21.481481481481481","18.68888888888889","Lagos","0","1","0","0","Lagos","18157.18","8992.9700000000012","66.400876651240083","57.768762686578874","Lagos","1200","6.3E-3","7.5600000000000005","0.71","10.647887323943664","10.647887323943664","57.273014221001347","49.827522372271169"
"25","Lima","39.523806163628421","Lima","95.31","3657.69","2.5395683453237439","2.2094244604316571","Lima","112","56","66.666666666666657","57.999999999999993","Lima","500","9752000","5.1271534044298607E-2","7.3237041899939435","0.6952095296691283","0.60483229081214163","Lima","150","2819.3","5.320469620118469E-2","3.4259637825323979","1.5292359805625608","1.3304353030894278","Lima","n/a",NA,"0","0","Lima","63","18","97.89473684210526","85.168421052631572","Lima","30","15","88.888888888888886","77.333333333333329","Lima","1","0","100","87","Lima","3459.01","23691.14","11.486245908444047","9.9930339403463204","Lima","15","0.37619999999999998","5.6429999999999998","1.47","3.8387755102040817","3.8387755102040817","84.596070408781316","73.598581255639743"
"26","London","48.412693533064875","London","430","3323","11.457500666133768","9.9680255795363788","London","118","50","70.238095238095241","61.107142857142861","London","19200","8173941","2.3489281363787677","5.0260475876594741","31.849977874809724","27.70948075108446","London","495","1572","0.3148854961832061","3.1642829825503767","9.0505963740457958","7.8740188454198421","London","76","76","59.788359788359791","52.015873015873019","London","404","359","58.011695906432749","50.470175438596492","London","15","0","100","87","London","1","0","100","87","London","5199.71","21950.440000000002","17.989769662352529","15.651099606246701","London","2.4","1.5636000000000001","3.75264","7.85","0.47804331210191087","0.47804331210191087","98.081746249136785","85.331119236749004"
"27","Los Angeles","36.57033660872488","Los Angeles","182","3571","4.8494537703170835","4.2190247801758627","Los Angeles","156","12","92.857142857142861","80.785714285714292","Los Angeles","0","3884307","0","7.3749757240382419","0","0","Los Angeles","130","1302","9.9846390168970817E-2","3.3793220885646118","2.8698348694316422","2.4967563364055287","Los Angeles","123","123","34.920634920634924","30.380952380952383","Los Angeles","595","550","35.672514619883046","31.03508771929825","Los Angeles","95","80","40.740740740740748","35.44444444444445","Los Angeles","1","0","100","87","Los Angeles","2983.34","24166.81","9.7090694024282698","8.4468903801125954","Los Angeles","2.85","1","2.85","9","0.31666666666666665","0.31666666666666665","98.729305471431459","85.894495760145375"
"28","Madrid","47.460056373163624","Madrid","325","3428","8.6597388755662195","7.5339728217426112","Madrid","140","28","83.333333333333329","72.5","Madrid","1580","3165235","0.49917304718291056","6.8758026768553311","6.7684703768703969","5.8885692278772455","Madrid","30","605.77","4.9523746636512211E-2","3.4296447320970702","1.4234362876999569","1.2383895702989625","Madrid","53","53","71.957671957671963","62.603174603174608","Madrid","172","127","85.146198830409361","74.07719298245614","Madrid","53","38","71.851851851851848","62.511111111111106","Madrid","1","0","100","87","Madrid","5225.1400000000003","21925.010000000002","18.08478006567411","15.733758657136475","Madrid","2","1.3277000000000001","2.6554000000000002","6.24","0.42554487179487183","0.42554487179487183","98.292407767631119","85.514394757839071"
"29","Manila","42.218275137880426","Manila","31","3722","0.82600586197709447","0.71862509992007217","Manila","126","42","75","65.25","Manila","0","11855975","0","7.3749757240382419","0","0","Manila","1.75","638.54999999999995","2.7405841359329735E-3","3.4764278945976494","7.8771239527057446E-2","6.8530978388539984E-2","Manila","17","17","91.005291005291014","79.174603174603178","Manila","55","10","98.830409356725141","85.982456140350877","Manila","80","65","51.851851851851855","45.111111111111114","Manila","0","1","0","0","Manila","18567.03","8583.1200000000026","67.93213948259492","59.100961349857577","Manila","3.5","2.3599999999999999E-2","8.2599999999999993E-2","1.29","6.4031007751937971E-2","6.4031007751937971E-2","99.743061522497527","86.776463524572847"
"30","Mexico City","51.262585922241577","Mexico City","3753","0","100","87","Mexico City","81.14","86.86","48.297619047619051","42.018928571428575","Mexico City","4000","8851080","0.45192225129588703","6.9230534727423549","6.1277795101464108","5.3311681738273773","Mexico City","128","1495","8.5618729096989962E-2","3.3935497496365925","2.460896321070237","2.1409797993311064","Mexico City","53","53","71.957671957671963","62.603174603174608","Mexico City","361","316","63.040935672514621","54.845614035087721","Mexico City","40","25","81.481481481481481","70.888888888888886","Mexico City","1","0","100","87","Mexico City","5920.45","21229.7","20.682565497586637","17.993831982900375","Mexico City","8.74","7.8399999999999997E-2","0.68521600000000005","0.56999999999999995","1.2021333333333335","1.2021333333333335","95.176176054916212","82.803273167777107"
"31","Miami","46.042844226733564","Miami","50","3703","1.332267519317881","1.1590727418065565","Miami","140","28","83.333333333333329","72.5","Miami","1000","2496435","0.4005712145519511","6.9744045094862912","5.4314919742219132","4.7253980175730641","Miami","88","4916","1.7900732302685109E-2","3.4612677464308974","0.51451179820993787","0.44762526444264594","Miami","71","71","62.433862433862437","54.317460317460323","Miami","145","100","88.304093567251471","76.824561403508781","Miami","30","15","88.888888888888886","77.333333333333329","Miami","1","0","100","87","Miami","507.82","26642.33","0.46014476103370328","0.40032594209932187","Miami","2.95","1","2.95","8.0500000000000007","0.36645962732919252","0.36645962732919252","98.529500284036402","85.720665247111668"
"32","Montreal","43.461567839891664","Montreal","71","3682","1.8918198774313879","1.6458832933653074","Montreal","132.5","35.5","78.86904761904762","68.616071428571431","Montreal","5120","3824220","1.3388351088588","6.0361406151794421","18.153756147223049","15.793767848084054","Montreal","530","1545","0.34304207119741098","3.1361264075361714","9.8598867313915974","8.578101456310689","Montreal","111","111","41.269841269841272","35.904761904761905","Montreal","285","240","71.929824561403507","62.578947368421048","Montreal","54","39","71.111111111111114","61.866666666666667","Montreal","1","0","100","87","Montreal","2475.2199999999998","24674.93","7.8106546900505123","6.7952695803439456","Montreal","3.45","0.97109999999999996","3.350295","10.050000000000001","0.33336268656716417","0.33336268656716417","98.662309025737457","85.836208852391593"
"33","Moscow","44.342493888206818","Moscow","332.2","3420.8","8.8515853983479929","7.7008792965627535","Moscow","133","35","79.166666666666671","68.875","Moscow","2500","11503501","0.21732514301515685","7.157650581023085","2.9467913000282948","2.5637084310246165","Moscow","150","2511","5.9737156511350059E-2","3.4194313222222323","1.7169952210274886","1.493785842293915","Moscow","69","69","63.492063492063494","55.238095238095241","Moscow","184","139","83.742690058479525","72.856140350877183","Moscow","76","61","54.814814814814817","47.68888888888889","Moscow","1","0","100","87","Moscow","4581.24","22568.910000000003","15.679070325258365","13.640791182974779","Moscow","6.98","3.1399999999999997E-2","0.21917200000000001","1.21","0.18113388429752067","0.18113388429752067","99.273160518794015","86.367649651350789"
"34","Mumbai","54.485213883628148","Mumbai","116.4","3636.6","3.1015187849720292","2.6983213429256652","Mumbai","147","21","87.5","76.125","Mumbai","0","12442373","0","7.3749757240382419","0","0","Mumbai","13","458.28","2.8366937243606529E-2","3.4508015414899762","0.81533669372436179","0.70934292354019479","Mumbai","58","58","69.312169312169317","60.301587301587304","Mumbai","311","266","68.888888888888886","59.93333333333333","Mumbai","15","0","100","87","Mumbai","1","0","100","87","Mumbai","27150.15","0","100","87","Mumbai","21","1.7100000000000001E-2","0.35910000000000003","0.43","0.83511627906976749","0.83511627906976749","96.648912568844821","84.084553934894998"
"35","Nairobi","30.037283749573373","Nairobi","160","3593","4.2632560618172164","3.7090327737809781","Nairobi","25","143","14.88095238095238","12.946428571428569","Nairobi","0","3138369","0","7.3749757240382419","0","0","Nairobi","100","696","0.14367816091954022","3.3354903178140423","4.129669540229898","3.5928125000000111","Nairobi","78","78","58.730158730158735","51.095238095238102","Nairobi","356","311","63.62573099415205","55.354385964912282","Nairobi","150","135","0","0","Nairobi","1","0","100","87","Nairobi","4509.1499999999996","22641","15.409730963266512","13.406465938041865","Nairobi","300","1.18E-2","3.54","0.9","3.9333333333333331","3.9333333333333331","84.21663638199071","73.26847365233192"
"36","New Delhi","35.147073116157095","New Delhi","190","3563","5.0626165734079507","4.4044764188649168","New Delhi","127.75","40.25","76.041666666666671","66.15625","New Delhi","80","16787941","4.7653253010598497E-3","7.3702103987371821","6.4614793043020313E-2","5.6214869947427672E-2","New Delhi","14.5","1484","9.7708894878706203E-3","3.4693975892457121","0.28083979110512303","0.24433061826145702","New Delhi","100","100","47.089947089947096","40.968253968253975","New Delhi","327","282","67.017543859649123","58.305263157894736","New Delhi","55","40","70.370370370370381","61.222222222222229","New Delhi","0","1","0","0","New Delhi","11312.63","15837.520000000002","40.828581879128677","35.520866234841947","New Delhi","25","1.7100000000000001E-2","0.42749999999999999","0.62","0.68951612903225801","0.68951612903225801","97.233165139407205","84.592853671284274"
"37","New York City","52.869299325521879","New York City","1160","2593","30.908606448174794","26.890487609912071","New York City","168","0","100","87","New York City","10950","8405837","1.3026662306204606","6.072309493417781","17.663329065267391","15.36709628678263","New York City","410","786","0.52162849872773542","2.9575399800058473","14.992907124681935","13.043829198473283","New York City","80","80","57.671957671957671","50.17460317460317","New York City","341","296","65.380116959064338","56.880701754385974","New York City","37","22","83.703703703703709","72.822222222222223","New York City","1","0","100","87","New York City","10694.45","16455.7","38.518966026775523","33.511500443294707","New York City","2.5","1","2.5","8.75","0.2857142857142857","0.2857142857142857","98.853508696028385","86.00255256554469"
"38","Osaka","51.630173724039864","Osaka","762.6","2990.4","20.319744204636294","17.678177458033577","Osaka","133","35","79.166666666666671","68.875","Osaka","60","2683487","2.2358968014378307E-2","7.3526167560238633","0.30317344559523463","0.2637608976678541","Osaka","87.2","223","0.39103139013452914","3.0881370885990536","11.239219730941699","9.778121165919277","Osaka","44","44","76.719576719576722","66.746031746031747","Osaka","150","105","87.719298245614041","76.31578947368422","Osaka","45","30","77.777777777777771","67.666666666666657","Osaka","1","0","100","87","Osaka","12033.57","15116.580000000002","43.522124945218636","37.864248702340213","Osaka","680","1.0200000000000001E-2","6.9360000000000008","8.39","0.82669845053635282","0.82669845053635282","96.682690954086411","84.113941130055181"
