"","Indicator","Category","Weight","Accra","Amsterdam","Bangkok","Beirut","Berlin","Bogota","Boston","Buenos.Aires","Cairo","Caracas","Casablanca","Chicago","Dallas","Dar.Es.Salaam","Detroit","Dubai","Durban","Hong.Kong","Istanbul","Jakarta","Johannesburg","Karachi","Lagos","Lima","London","Los.Angeles","Madrid","Manila","Mexico.City","Miami","Montreal","Moscow","Mumbai","Nairobi","New.Delhi","New.York.City","Osaka","Paris","Quito","Rio.De.Janeiro","Rome","San.Francisco","Santiago","Sao.Paulo","Seoul","Shanghai","Singapore","Sydney","Tehran","Tel.Aviv","Tokyo","Toronto","Vancouver","Warsaw","Washington"
"47","registered.vehicles","Environment","0.85099999999999998","605739","249820","7384934","850000","1120360","1492483","311943","1406329","2000000",2200000,"595917","1604353.5","802777","129541","436050","1187588","1400000","686884","1600000","n/a",3650000,"2614580",293864,"1453028","2600000",2872768,"1913177","1900000",2568000,1862412,"827479",5500000,"2330000","300000","8052507","2016158",887477,2145000,429173,"1867000",2421282,471388,"1695442",0,2974218,3291700,620011,3187518,3200000,192000,4418054,2173700,"341684","1262405",275000
"48","post.secondary.institutions","Education","0.84299999999999997","19","29","48","23","47","110","30","59","22",69,"54","36","21","14","13","41","21","25","41","18",8,"31",13,"33","46",31,"27","23",192,18,"34",10,"77","37","11","20",20,65,21,"12",26,10,"21",18,22,29,11,86,37,5,53,16,"12","170",22
"49","tuition.cost","Education","0.84299999999999997","2765.5","5990.333333333333","6234","10335562.5","599","5390","29731.107142857141","0","500",8476.07368421053,"20831.57894736842","14379.15","12754.95","2818181.8181818184","20483.142857142859","57268.132463636364","34032.33","48028.888888888891","18897.619047619046","5900000",27146.67,"79342.5",66708,"37120","9146.5731707317082",22324.2,"8094.0395238095243","67128.205128205125",60906.6097560976,17166.16,"4597.8",172169.555555556,"36425","129237.75","42313.1","27934.1",1279429.47368421,388.5,2300,"17712",3448.16666666667,17530.125,"3001150",34417.1892352941,6741542.85714286,24009.25,8234.4,13118.41,422700,12774,957945.262396227,6914.21428571429,"8258.4040000000005","5060.3999999999996",20594
"50","undergrad.enrollment","Education","0.84299999999999997","43706","18123.8","750716","131000","153967","0","80835","0","716870",161610,"23923","203657","88429","24298","46179","21087","47897","97331","251911","649649",69638,"270270",262616,"0","157397",234562,"247309.77600000001","296703",1469002,171222,"114460",185250,"618400","31088","80864","122366",32335,0,98929,"470777",234360,34626,"446529",585092.217,274046,259662,97345,221863,0,6626.66666666667,1038900,186418,"19016.5","145595",88933
"51","student.housing","Education","0.84299999999999997","n/a","493","103000","5614500","258","813000","4,263.33","24000","6000",61800,"0","7396","7,485.00","24000","5,798.00","24453.333299999998","17333","12498","2169","40060",25000,"1300",75000,"6872","5366.87",8189.81,"450","104400",3493,6262,"5749.28",4067,"14483.33","7773.33","19940","7137.67",480000,5000,250,"0",145,7786.33,"n/a",0,582000,28800,3216,8922.56,117500,2060,398400,7193,"8513","2835",8152.67
"52","student.debt","Education","0.84299999999999997","n/a","14450","200000","12270000","8510","10090658","25621","1","0",0,"0","23841","24311","10000000","26479","0","132000","150500","5200","30400000",10774,"0",0,"NA","22000",17493,"no","zero - no student debt",8695,27907,"13180",0,"NA ","160000","0","22675.5",591300,0,7000,"0",0,27014,"4900",9600,13080000,63394,20000,20000,300,13000,3240000,28000,"35000","n/a",40885
"53","employment.initiatives.scale","Entrepreneurship","0.84099999999999997","1","2","2","1","2","2","2","2","1",1,"2","2","1","1","2","0","2","2","2","2",2,"2",2,"2","2",2,"2","1",2,1,"2",1,"2","1","1","2",2,2,1,"2",2,2,"2",2,0,1,1,2,2,2,2,2,"2","2",2
"54","age.register.business","Entrepreneurship","0.84099999999999997","21","18","20","18","14","18","18","18","21",18,"15","16","18","18","18","18","18","18","18","21",18,"18",18,"18","16",0,"18","18",18,0,"18",18,"19.5","18","19.5","18",16,16,18,"16",18,0,"18",16,0,18,18,18,18,18,16,18,"18","18",18
"55","num.incubators","Entrepreneurship","0.84099999999999997","6","13","4","3","26","13","20","9","7",7,"4","21","29","6","7","8","17","17","15","5",19,"3",9,"2","33",28,"7","11",32,8,"12",4,"4","9","4","116",8,20,3,"22",8,39,"14",11,8,16,4,10,22,9,12,41,"11","15",10
"56","early.entrepreneurship","Entrepreneurship","0.84099999999999997","25.8","9.3000000000000007","17.7","9.6","5","23.7","12.7","15.9","9.6",18.5,"9.6","12.7","12.7","26.6","12.7","9.6","10.6","14","7.4","25.5",10.6,"12.4",39.9,"23.4","7.1",12.7,"5.2","18.5",14.8,12.7,"12.2",5.8,"9.9","26.6","9.9","12.7",3.7,4.6,36,"17.3",3.4,12.7,"24.3",17.3,6.9,14,10.7,0,12.3,10,3.7,12.2,"12.2","9.3000000000000007",12.7
"57","ease.doing.business","Entrepreneurship","0.84099999999999997","956","528","429","1155","404","762","319","1251","1249",1663,"902","319","319","1361","319","446","664","183","753","1200",664,"1565",663,"309","319",632,"1128","747",319,458,"851",1390,"1425","1390","319","572",1300,556,1769,"1215",825,319,"589",1215,208,1087,90,333,1351,749,572,458,"458","621",319
"58","green.public.space","Public space","0.83299999999999996","n/a","13.9217382","18.809999999999999","1.52","286.45","783.29","20.234000000000002","47.622100000000003","5.68",35.28,"3.8","28.676020000000001","94.417207000000005","4","23.96144","29.0764","186.6","23.02","6.3000000000000003E-4","66.099999999999994",222.78,"17",3.88,"2.4077305299999998","51.71",40.557595,"35","10.64",46.910724,3.52077,"43.99",188.89,"15.37","37.299999999999997","22.26","210.59435999999999",8.717624,142.6,20.2,"58",1.286,37.7855,"11606",141.264712,269.139187,342.56,71.6,18.8,485,0.2,875.24,73.93,"15.8","200",34.45089
"59","sports.facilities","Public space","0.83299999999999996","n/a","30","n/a","7","2381","90","15","216","93",35,"7","2320","525","3","580","55","180","1034","26","0",551,"261",3,"1591","2263",91,"69","0",3668,230,"6",15270,"7","23","68","4240",158,5935,0,"157",156,122,"177",459,2754,14425,21,27,19,48,1921,596,"183","390",315
"60","public.libraries","Public space","0.83299999999999996","9","26","10","4","84","21","25","30","18",8,"11","70","28","16","23","7","92","67","15","8",83,"79",12,"55","342",73,"232","11",408,48,"43",488,"28","2","39","91",24,313,46,"74",39,49,"74",133,123,37,27,24,54,20,331,99,"22","195",26
"61","business.banking","Financial services","0.81799999999999995","18","18","20","18","8","18","18","18","21",18,"20","18","18","18","18","21","18","18","18","21",18,"18",18,"18","18",18,"18","18",18,18,"12",18,"18","18","18","18",15,17,18,"18",18,18,"18",18,19,18,18,18,18,14,15,18,"18","18",0
"62","personal.banking","Financial services","0.81799999999999995","18","18","15","18","18","18","18","18","18",14,"12","18","18","18","18","18","18","18","18","17",18,"1",18,"18","16",18,"18","18",18,18,"12",18,"10","18","10","18",15,18,18,"16",13,18,"18",16,14,16,16,18,12,14,15,12,"12","18",0
"63","chartered.banks","Financial services","0.81799999999999995","1","12","32","30","36","23","18","32","34",7,"12","71","67","40","31","43","10","23","49","74",17,"31",22,"18","160",64,"127","10",22,0,"8",541,"57","44","62","218",9,31,29,"154",126,22,"25",7,47,37,6,34,29,10,11,23,"5","28",0
"64","online.banking","Financial services","0.81799999999999995","1","12","32","23","29","20","16","29","20",7,"9","62","60","24","31","40","10","22","37","11",17,"7",19,"14","n/a",0,"110","10",21,0,"8",398,"57","13","59","210",9,31,18,"0",0,22,"25",7,8,0,6,34,28,10,11,23,"5","28",0
"65","mobile.banking","Financial services","0.81799999999999995","1","6","1","9","23","13","16","7","4",2,"3","52","45","24","30","23","6","21","29","6",11,"7",19,"18","n/a",0,"79","10",20,0,"8",167,"45","10","47","0",7,27,5,"0",0,18,"20",7,8,0,6,27,18,9,5,19,"5","21",0
"66","financial.literacy","Financial services","0.81799999999999995","2","2","0","2","2","2","2","2","0",2,"3","3","2","2","3","2","2","2","0","2",2,"2",0,"2","2",2,"2","2",2,3,"0",0,"3","0","3","3",2,0,0,"0",0,3,"2",2,2,2,3,3,3,2,2,2,"3","2",0
"67","voting.languages","Diversity","0.81100000000000005","1","1","1","1","1","1","3","1","1",1,"2","16","1","1","1","1","11","8","1","1",11,"3",1,"1","26",10,"1","2",2,3,"15",1,"2","2","2","5",1,1,1,"1",1,5,"1",1,1,1,4,24,1,2,1,27,"5","1",3
"68","diversity.food","Diversity","0.81100000000000005","4","86","68","31","86","33","82","28","27",36,"15","113","91","19","45","69","28","67","22","45",35,"72",13,"29","114",49,"61","48",55,55,"111",45,"30","34","42","109",52,105,28,"27",53,78,"46",54,57,48,68,69,18,60,95,111,"81","66",79
"69","openness.lgbtq","Diversity","0.81100000000000005","6","14","8","5","14","9","13","14","4",8,"4","13","12","4","10","5","14","8","9","7",14,"6",4,"9","13",13,"14","7",14,13,"13",7,"8","4","8","13",9,13,12,"12",12,14,"8",13,9,9,4,11,7,13,9,14,"14","9",12
"70","openness.immigrants","Diversity","0.81100000000000005","14","67","56","32","89","89","38","82","8",66,"69","38","38","47","40","46","46","166","76","11",68,"176",44,"96","87",38,"75","157",100,40,"64",41,"3","46","3","38",66,69,10,"72",68,40,"110",72,63,9,156,66,10,97,66,64,"73","73",3
"71","diversity.religion","Diversity","0.81100000000000005","2","71","35","16","40","16","58","50","16",39,"3","61","83","6","60","40","54","16","46","40",68,"18",3,"48","75",78,"52","31",83,60,"72",31,"23","25","48","87",36,54,25,"45",35,65,"41",74,37,10,32,43,11,21,51,74,"58","32",71
"72","gender.gap.index","Diversity","0.81100000000000005","0.66610000000000003","0.77300000000000002","0.70269999999999999","0.59230000000000005","0.77800000000000002","0.71220000000000006","0.74629999999999996","0.73170000000000002","0.60640000000000005",0.6851,"0.5988","0.74629999999999996","0.74629999999999996","0.71819999999999995","0.74629999999999996","0.64359999999999995","0.75270000000000004","0.68300000000000005","0.61829999999999996","0.67249999999999999",0.7527,"0.55220000000000002",0.6391,"0.7198","0.73829999999999996",0.7463,"0.73250000000000004","0.78139999999999998",0.69,0.7463,"0.74639999999999995",0.6927,"0.64549999999999996","0.7258","0.64549999999999996","0.74629999999999996",0.6584,0.7588,0.7455,"0.69410000000000005",0.6973,0.7463,"0.69750000000000001",0.6941,0.6403,0.683,0.7046,0.7409,0.5811,0.7005,0.6584,0.7464,"0.74639999999999995","0.70509999999999995",0.7463
"73","cellular.comp","Digital Access","0.80800000000000005","5","34","4","2","42","9","6","4","3",3,"4","10","7","7","7","2","4","7","3","6",4,"6",9,"4","11",10,"28","2",8,7,"7",3,"10","3","8","10",5,15,3,"4",8,10,"7",7,3,3,3,44,4,9,5,9,"5","13",6
"74","cellular.package.cost","Digital Access","0.80800000000000005","n/a","9.9600000000000009","249","21750","10.4","19900","34","168.25","0",79,"149","34","41","8970","41","75","56.25","127.40","39.630000000000003","29900",56.25,"150",1368.3,"0.33","12.16",34,"6.5","599",163.37,41,"44.13",199,"282","0","274","25",5028,8.87,12.73,"50",10,34,"9709",0,64000,33,30.07,29.9,90000,67,5028,45.1,"35","27.68",37
"75","free.wifi","Digital Access","0.80800000000000005","5","6","7","7","8","7","12","10","6",4,"4","9","10","3","7","8","5","12","10","9",7,"9",4,"7","10",9,"13","7",6,11,"9",5,"6","5","6","11",10,8,10,"8",6,10,"11",7,13,9,10,9,9,9,10,10,"11","8",11
"76","mobile.infrastructure","Digital Access","0.80800000000000005","3","3","3","1","3","3","3","3","3",2,"1","3","3","3","3","3","3","3","2","3",3,"3",3,"3","3",3,"3","3",3,3,"3",2,"1","3","1","3",3,3,3,"3",3,3,"3",3,3,3,3,3,1,3,3,3,"3","3",3
"77","municipal.open.data","Digital Access","0.80800000000000005","3","6","-1","-6","2","4","6","6","2",2,"4","4","4","-6","4","4","6","6","-2","6",-5,"2",6,"6","6",6,"3","-6",4,5,"4",2,"4","4","4","6",6,6,2,"6",5,5,"6",6,6,-6,4,4,4,6,4,6,"5","6",6
"78","gamers.developers.scale","Digital Access","0.80800000000000005","2","5","1","3","5","5","4","5","5",3,"2","5","4","2","5","4","2","5","3","3",2,"4",5,"3","5",5,"5","5",5,4,"5",4,"2","2","2","5",2,5,5,"5",5,5,"2",5,5,4,5,3,4,5,4,5,"4","5",4
"79","num.nightclubs","Music","0.77700000000000002","22","38","18","438","268","54","36","100","19",32,"52","106","55","24","27","94","22","13","100","0",78,"0",219,"67","386",291,"94","0",190,37,"72",114,"10","42","10","584",64,319,186,"240",131,200,"83",184,222,209,80,139,0,484,397,265,"45","89",191
"80","music.festivals","Music","0.77700000000000002","5","44","7","8","51","19","11","80","6",8,"14","34","16","0","14","11","11","0","7","48",14,"16",4,"0","74",41,"14","3",42,7,"32",28,"6","4","9","77",26,48,5,"6",23,17,"35",33,6,12,14,26,3,7,11,33,"3","34",6
"81","graffiti.street.art","Creative arts","0.77400000000000002","0","1","1","0","1","1","1","0","1",1,"1","1","1","1","1","0","0","1","1","0",1,"1",0,"0","0",1,"1","0",1,0,"1",1,"1","1","1","1",1,1,1,"1",1,1,"1",1,1,0,0,1,1,1,1,1,"1","1",1
"82","number.pro.sports.teams","Sports","0.76200000000000001","2","1","3","11","6","5","5","7","10",5,"5","7","6","5","4","11","7","0","27","3",8,"6",5,"18","18",10,"5","0",12,3,"6",17,"6","0","6","11",8,11,24,"16",9,8,"10",6,6,5,12,22,14,5,11,8,"5","26",7
"83","num.pro.sports.facilities","Sports","0.76200000000000001","3","5","n/a","5","6","4","5","22","10",9,"2","9","4","10","7","30","9","15","23","11",7,"6",3,"10","37",2,"12","5",18,2,"10",80,"7","7","5","5",8,16,5,"24",10,5,"29",6,28,24,21,1,17,3,17,8,"4","9",3
"84","cost.shorts","Sports","0.76200000000000001","294.55","89.45","3139.5","167490","97.01","178493","85.43","1303.0999999999999","705.76",4400,"686.36","89.09","86.07","215666","78.23","451.24","701.38","731.03","168.9","894680",832.6,"929.6",10518.4,"273.02","64.56",82.27,"70.790000000000006","3750.14",1096.87,85.37,"114.08",4639.06,"3112.52","4623.41","4195.8599999999997","80.040000000000006",6953.64,99.35,111.95,"360.59",86.89,85.44,"34884.6",304,107965,792.69,152.12,131.22,2808460,478.85,7475.24,118.43,"119.64","271.83",72.22
"85","cost.gym","Sports","0.76200000000000001","290.45999999999998","40.56","2762.15","148636","33.76","122233","67.22","598.83000000000004","496.06",4320.48,"617.04","86.06","39.619999999999997","145142","33.47","383.56","429.1","562.71","172.66","516148",387.17,"1462.86",19386,"204.73","56.16",53.99,"66.36","3074.01",1032.16,43.27,"53.58",6232.37,"3370.05","7039.3","2210.0700000000002","93.42",9400,81.08,75.45,"156.38999999999999",56.69,61.67,"30590",222.42,83126.7,361.06,130.23,63.58,984030,306.43,10204.7,56.98,"55.57","176.11",102.71
"86","film.festivals","Film","0.75900000000000001","2","35","10","6","65","31","12","20","3",6,"3","28","9","3","19","5","2","30","23","0",23,"22",1,"7","80",51,"11","4",23,0,"16",33,"7","5","12","74",8,22,5,"16",14,47,"5",25,53,2,10,39,15,6,15,50,"5","30",12
"87","cost.movie","Film","0.75900000000000001","19.73","10.53","181.33","14317.4","8","10811.25","11.89","54.564999999999998","35.39",90,"57.95","11.77","10.41","10000","9.6","36.549999999999997","52.2","84.22","15.69","43853.15",65,"267.75",1500,"16.13","11.56",13.07,"8.68","222.2",65.41,11.32,"12.05",361.88,"234.95","528.57000000000005","252.97","13.77",1722.73,9.89,5,"21.59",8.46,12.94,"4094.56",22.91,9332.35,79.92,10.89,18.8,3,39.08,1796.5,13.993,"13.06","24.8",12.32
"88","cinema.seats","Film","0.75900000000000001","1752","9430","5800","8631","52995","48404","56283","36488","9847",19797,"6640","87615","35126","250","29410","18858","1688","58206","7786","30000",1874,"3169",200,"19503","123967",75585,"26700","1900",146250,8268,"20246",46667,"9616","586","45054","204680",15307,73857,15210,"39314",50441,45788,"38877",60456,83665,40424,37689,46827,34211,4125,71431,40839,"44676","29861",27820
"89","voting.age","Civic engagement","0.755","18","18","18","21","18","18","17","18","18",18,"18","18","18","18","18","21","18","18","18","17",18,"18",18,"18","18",18,"18","18",18,18,"18",18,"18","18","18","18",20,18,18,"16",18,18,"18",18,19,18,21,18,16,17,20,18,"18","18",18
"90","councillor.age","Civic engagement","0.755","N/A","39","n/a","53","47.8","49.6","45.5","49","N/A ",43,"53","55","54","49","47","49.25","n/a","58.4","53","40",0,"47.52",0,"44","56.5",54,"53","0",42,0,"53",51.97,"46.27","0","45","48",52.36046512,48,46,"48",45.33,47,"54",50,58,54.4444444,50,0,53,49.9,54.32283465,53,"51","47.82",52.8
"91","volunteer.opportunities","Civic engagement","0.755","1","38","7","2","35","15","18","5","0",14,"32","9","7","1","6","29","23","0","6","6",26,"47",4,"128","44",9,"6","14",15,7,"7",45,"6","20","4","15",17,17,30,"13",15,8,"35",8,28,10,6,70,26,60,13,11,"5","12",0
"92","youth.advisory.board","Civic engagement","0.755","0","n/a","n/a","N/A","420","222","84","0","0",3,"0","0","70","0","0","0","3","N/A","301","0",150,"n/a",9,"0","13",30,"0","10",1200,0,"13",45,"0","30","0","3",0,80,0,"0",0,42,"0",25,142,0,90,0,0,45,0,37,"21","207",32
"93","highschool.volunteer","Civic engagement","0.755","0","30","0","0","0","80","0","0","0",120,"0","40","0","0","0","0","0","0","0","0",0,"30",0,"0","0",0,"0","0",60,0,"0",0,"0","0","0","0",0,0,200,"0",0,0,"0",0,60,0,6,0,0,60,12,5,"0","0",100
"94","num.restaurants","Food and nightlife","0.749","1073","2405","7926","4800","4650","6158","766","4234","3931",991,"526","16598","6000","186","978","732","154","44047","10533","2916",3800,"4000",1000,"39895","37450",10368,"7211","0",52110,8599,"6061",10398,"11200","337","4214","25034",74880,16162,2339,"6576",6588,6221,"2000",31087,80708,69789,4920,8291,2237,1023,190112,10091,"3119","1256",9623
"95","last.call.index","Food and nightlife","0.749","0","12","4","12","12","8","4","12","2",5,"5","6","2","1.5","4","5","4","5","5","5",4,"0",12,"12","2",4,"8","0",4,4,"4.75",1,"3.5","8","1.5","6",12,4,4,"12",4,4,"5",12,8,12,6,5,0,12,12,4,"4","12",5
"96","num.food.festival","Food and nightlife","0.749","1","15","4","3","9","6","20","7","0",13,"3","31","15","2","0","12","6","8","2","15",8,"24",7,"10","11",77,"12","n/a",7,2,"25",3,"4","4","6","81",6,20,12,"2",20,78,"6",7,0,0,6,5,10,3,54,20,"5","27",63
"97","fast.food","Food and nightlife","0.749","20.05","7.05","148.18","12818.1","6.58","13856.6","7.16","58.05","36.28",275,"51.08","6.67","6.64","8000","6.23","21.87","46.43","34.9","13.37","42976.6",52,"117.45",1455.05,"14","5.46",6.73,"6.98","161.79",70.71,7.12,"8.6",245.25,"219.34","583","242.29","7.49",675.87,7.39,5.28,"19.89",7.34,7.1,"3405.03",20.11,5773.84,30.94,7.44,8.68,5,42.43,639,8.16,"8.2","17.28",7.11
"98","young.designer","Fashion","0.71399999999999997","0","15","1","0","1","0","0","1","0",3,"13","1","11","1","12","0","10","1","1","19",21,"1",16,"0","9",16,"21","0",11,16,"1",1,"41","0","17","52",0,11,21,"0",14,5,"5",0,26,17,1,16,0,11,14,7,"4","1",9
"99","fashion.incubators","Fashion","0.71399999999999997","1","1","2","1","3","0","0","1","0",0,"0","1","0","0","1","2","3","13","1","1",1,"1",0,"0","18",5,"2","0",0,0,"2",2,"0","0","0","8",6,3,1,"1",1,2,"0",1,2,3,1,0,1,4,5,6,"4","1",1
"100","design.schools","Fashion","0.71399999999999997","3","6","5","4","26","9","5","0","1",15,"8","8","2","6","4","2","14","12","10","5",40,"10",29,"30","65",25,"17","10",29,4,"4",16,"17","7","22","23",9,52,8,"13",7,16,"22",30,13,15,9,13,9,6,10,14,"5","9",3
